# AutoGraphForge survivors, ranked by touch number
# NORMALISED: restatements collapsed.
# A conjecture and its algebraic rearrangement are one
# claim, not two: `b <= r + 1` and `b - 1 <= r` differ by
# moving a constant across the relation, `t <= 3d` and
# `(1/3)t <= d` by clearing a denominator. Both normalise
# to a single canonical body. They were reported twice
# because they are generated by different partitions --
# one is a bound on t, the other a bound on d -- so no
# single generator ever sees the pair.
# 82 restatement(s) removed here; each is listed
# in the trailing section with the form that was kept.
# 6522 survivors; 2677 carry a recomputed (hypothesis-aware) touch count.
# Format:  [touch] statement    -- verdict

## Ranked by touch (2595)

[   720] ((nontrivial) ∧ (cograph)) ⇒ slater ≤ radius    -- promising:class
[   720] ((nontrivial) ∧ (cograph)) ⇒ radius ≤ slater    -- promising:class
[   720] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ radius = slater    -- promising:class
[   720] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ sub_total_domination_number = total_domination_number    -- promising:class
[   720] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ domination_number = radius    -- promising:class
[   720] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ 2 = sub_total_domination_number    -- promising:class
[   720] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ 2 = total_domination_number    -- promising:class
[   720] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ largest_laplacian_eigenvalue = order    -- promising:class
[   708] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ (power_domination_number + 1) ≤ burning_number    -- promising:class
[   704] (nontrivial) ⇒ double_roman_domination_number ≤ (2 · two_rainbow_domination_number)    -- trivial:known
[   703] (nontrivial) ⇒ chromatic_number ≤ (connected_zero_forcing_number + 1)    -- trivial:known
[   697] (((nontrivial) ∧ (connected)) ∧ (regular)) ⇒ ((1/2) · order) = harmonic_index    -- promising:class
[   691] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ diameter ≤ total_domination_number    -- promising:class
[   691] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ diameter ≤ sub_total_domination_number    -- promising:class
[   691] ((nontrivial) ∧ (cograph)) ⇒ diameter ≤ 2    -- promising:class
[   669] (nontrivial) ⇒ chromatic_number ≤ (total_zero_forcing_number + 1)    -- trivial:known
[   663] (nontrivial) ⇒ triameter ≤ (2 · double_roman_domination_number)    -- promising:universal
[   663] (nontrivial) ⇒ triameter ≤ (3 · roman_domination_number)    -- promising:universal
